Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2016-02-09 Kl. 06-07;0,19919;0,19919;0,19919;0,15935;0,19919
2016-02-09 Kl. 07-08;0,21294;0,21294;0,21294;0,17035;0,21294
2016-02-09 Kl. 08-09;0,21485;0,21485;0,21485;0,17188;0,21485
2016-02-09 Kl. 09-10;0,21354;0,21354;0,21354;0,17083;0,21354
2016-02-09 Kl. 10-11;0,21199;0,21199;0,21199;0,16959;0,21199
2016-02-09 Kl. 11-12;0,21055;0,21055;0,21055;0,16844;0,21055
2016-02-09 Kl. 12-13;0,20984;0,20984;0,20984;0,16787;0,20984
2016-02-09 Kl. 13-14;0,21139;0,21139;0,21139;0,16911;0,21139
2016-02-09 Kl. 14-15;0,21210;0,21210;0,21210;0,16968;0,21210
2016-02-09 Kl. 15-16;0,21545;0,21545;0,21545;0,17236;0,21545
2016-02-09 Kl. 16-17;0,21868;0,21868;0,21868;0,17494;0,21868
2016-02-09 Kl. 17-18;0,22550;0,22550;0,22550;0,18040;0,22550
2016-02-09 Kl. 18-19;0,22478;0,22478;0,22478;0,17982;0,22478
2016-02-09 Kl. 19-20;0,22299;0,22299;0,22299;0,17839;0,22299
2016-02-09 Kl. 20-21;0,22095;0,22095;0,22095;0,17676;0,22095
2016-02-09 Kl. 21-22;0,21736;0,21736;0,21736;0,17389;0,21736
2016-02-09 Kl. 22-23;0,21306;0,21306;0,21306;0,17045;0,21306
2016-02-09 Kl. 23-00;0,19728;0,19728;0,19728;0,15782;0,19728
2016-02-10 Kl. 00-01;0,19730;0,19730;0,19730;0,15784;0,19730
2016-02-10 Kl. 01-02;0,19296;0,19296;0,19296;0,15437;0,19296
